direccion_ip,path,descripcion_ruta,tipo_almacenamiento,estado
148.215.1.73,/var/lib/mysql/Respaldos/,Scripts de Respaldo,Local / NFS,Activo
148.215.1.45,/home/oracle/Respaldos/,Scripts de Respaldo,Local / NFS,Activo
148.215.1.98,/Oracle/Backup/,Scripts de Respaldo,Local / NFS,Activo
148.215.1.45,/home/oracle/Respaldos/,Scripts de Respaldo,Local / NFS,Activo
148.215.1.39,/home/mysql/Backup/,Scripts de Respaldo,Local / NFS,Activo
148.215.1.33,/home/mysql/respaldos/,Scripts de Respaldo,Local / NFS,Activo
172.17.154.16,/home/mysql/respaldos/,Scripts de Respaldo,Local / NFS,Activo
172.17.154.52,/var/lib/mysql/,Scripts de Respaldo,Local / NFS,Activo
148.215.1.48,/var/lib/mysql/rspkayako/,Scripts de Respaldo,Local / NFS,Activo
172.17.154.59,/var/lib/mysql/,Scripts de Respaldo,Local / NFS,Activo
148.215.1.62,/home/areabd/Backup/,Scripts de Respaldo,Local / NFS,Activo
148.215.1.25,/home/areabd/Backup/,Scripts de Respaldo,Local / NFS,Activo
148.215.1.55,/var/lib/mysql/Respaldos/,Scripts de Respaldo,Local / NFS,Activo
148.215.109.120,/var/lib/mysql/backup/,Scripts de Respaldo,Local / NFS,Activo
148.215.1.188,/var/lib/mysql/Backup/,Scripts de Respaldo,Local / NFS,Activo
148.215.109.172,/home/admin/backup/,Scripts de Respaldo,Local / NFS,Activo
148.215.109.170,/home/admin/Backups/,Scripts de Respaldo,Local / NFS,Activo
148.215.1.164,/home/admin/Backups/,Scripts de Respaldo,Local / NFS,Activo
148.215.109.242,/bkpbd/Backup/,Scripts de Respaldo,Local / NFS,Activo
148.215.109.215,/backupbd/Backup/,Scripts de Respaldo,Local / NFS,Activo
148.215.109.153,/home/admbd/Respaldos/,Scripts de Respaldo,Local / NFS,Activo
148.215.53.7,/bkpdb/bkpd_bd/,Scripts de Respaldo,Local / NFS,Activo
148.215.109.241,/home/areabd/Respaldos/,Scripts de Respaldo,Local / NFS,Activo
148.215.154.3,/home/admbd/backups,Scripts de Respaldo,Local / NFS,Activo
