direccion_ip,puerto_db,nombre_instancia,nombre_base,tamano_mb,estado
148.215.1.73,3306,Sistema_de_Correspondencia_Institucional,db_sistema_de_correspondencia_institucional,1228,Activo
148.215.1.45,3306,desadds_uaemex_mx,db_desadds_uaemex_mx,100,Activo
148.215.1.98,1521,Prod_DDS,db_prod_dds,100,Activo
148.215.1.45,1521,desadds_uaemex_mx,db_desadds_uaemex_mx,100,Activo
148.215.1.39,3306,wwwdb,db_wwwdb,1024,Activo
148.215.1.33,3306,Repositorio,db_repositorio,7587,Activo
172.17.154.16,3306,srvmysql,db_srvmysql,11509,Activo
172.17.154.52,3306,ca-fise_uaemex_mx,db_ca-fise_uaemex_mx,1024,Activo
148.215.1.56,3306,Moodle,db_moodle,100,Activo
148.215.1.90,3306,srvmysql,db_srvmysql,2672,Activo
148.215.1.48,3306,kayako,db_kayako,12820,Activo
172.17.154.59,3306,bpm_db,db_bpm_db,1740,Activo
148.215.1.62,3306,Nuevo_Portal,db_nuevo_portal,3328,Activo
148.215.1.25,3306,srvbase,db_srvbase,39792,Activo
148.215.1.55,3306,srvmovil,db_srvmovil,1024,Activo
148.215.1.145,3306,Svr-148_215_1_145,db_svr-148_215_1_145,11264,Activo
148.215.109.120,3306,Limesurvey,db_limesurvey,1024,Activo
148.215.1.188,3306,Activos_(SIGAT),db_activos_(sigat),2396,Activo
148.215.109.172,3306,Encuentas,db_encuentas,1024,Activo
148.215.109.170,3306,dbcitas,db_dbcitas,1024,Activo
148.215.1.164,3306,Svr-148_215_1_164,db_svr-148_215_1_164,1024,Activo
148.215.109.242,3306,Exclusivo_para_Joomlas_(Portal_UAEMex),db_exclusivo_para_joomlas_(portal_uaemex),1024,Activo
148.215.109.215,3306,Svr-148_215_109_215,db_svr-148_215_109_215,1515,Activo
148.215.109.153,3306,FISE,db_fise,2048,Activo
148.215.53.7,27017,Expediente_Mongo_DB,db_expediente_mongo_db,1024,Activo
148.215.109.241,3306,SEPBR,db_sepbr,1024,Activo
148.215.154.3,3306,DBSICOINS,db_dbsicoins,2048,Activo
